Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
f64a0850-5460-4d8b-9a7c-605bdd66c83b,2025-02-22 20:51:37,Running,,5.04,28:04,5:34,10.77,419.0,55,,"","",2025-02-22-205137.gpx
0dcec97e-0f2a-4cfc-a891-ca49f728f5b6,2025-02-19 20:50:45,Running,,6.15,32:19,5:15,11.43,514.0,99,,"","",2025-02-19-205045.gpx
fbed811e-2163-4c7e-8186-abc94c5b28bd,2025-02-17 21:07:03,Running,,6.47,36:04,5:35,10.76,562.0,131,,"","",2025-02-17-210703.gpx
4970e19a-8405-479b-81cb-d9d88116dea0,2025-02-13 20:54:06,Running,,4.01,23:21,5:49,10.30,344.0,58,,"","",2025-02-13-205406.gpx
7588b727-bbe5-4c80-98b4-beb6353b5a61,2025-02-11 22:00:20,Running,,5.01,28:06,5:36,10.71,415.0,37,,"","",2025-02-11-220020.gpx
8150e499-b0d3-4b19-bd8d-0fa5d31cc26c,2025-02-10 20:47:32,Running,,5.02,27:31,5:29,10.94,448.0,118,,"","",2025-02-10-204732.gpx
7bc3c673-4889-4a17-ac00-9df97ab8454a,2025-02-03 21:53:36,Running,,2.42,13:17,5:30,10.91,200.0,21,,"","",2025-02-03-215336.gpx
1700ad16-a3b1-4c51-aa8f-5aeac3ce4ca2,2025-01-31 19:37:42,Running,,5.44,33:04,6:05,9.87,458.0,58,,"","",2025-01-31-193742.gpx
97eb79da-1375-47bc-b180-9dfa2d048361,2025-01-24 20:52:14,Running,,5.01,27:49,5:33,10.81,421.0,52,,"","",2025-01-24-205214.gpx
a831bb8f-3226-4c05-8b6a-0e08d2cfbb20,2025-01-22 20:58:02,Running,,4.04,21:29,5:19,11.29,339.0,42,,"","",2025-01-22-205802.gpx
daed1437-50eb-46ad-9135-3db4e0f09231,2025-01-19 20:37:10,Running,,3.02,17:14,5:42,10.53,259.0,40,,"","",2025-01-19-203710.gpx
f7615245-aa38-4343-8868-4ab0dedcbe0e,2025-01-17 19:34:28,Running,,5.02,29:15,5:50,10.29,419.0,55,,"","",2025-01-17-193428.gpx
a4745321-d957-4221-8f33-d35af53d32cf,2025-01-16 20:48:29,Running,,4.13,24:31,5:56,10.10,347.0,44,,"","",2025-01-16-204829.gpx
bb16b55d-9490-49dc-b091-c43eef17964b,2025-01-14 21:01:16,Running,,3.01,17:09,5:41,10.54,255.0,37,,"","",2025-01-14-210116.gpx
0f3a8f71-50e9-42d1-9154-b6ba8ef0aee8,2025-01-13 21:29:04,Running,,3.11,17:15,5:33,10.82,254.0,19,,"","",2025-01-13-212904.gpx
83d7fdf1-7dce-4071-96f2-1fcf0c45c2c3,2025-01-12 21:35:26,Running,,3.01,16:02,5:20,11.27,247.0,16,,"","",2025-01-12-213526.gpx
2731db7f-3f20-47ee-8b6c-41b6bd888810,2025-01-09 20:12:34,Walking,,5.03,48:22,9:37,6.24,314.0,50,,"","",2025-01-09-201234.gpx
9eca25f5-fcfa-4c1c-9b93-3e1dc1a66469,2025-01-04 21:57:44,Running,,3.01,18:06,6:01,9.98,269.0,77,,"","",2025-01-04-215744.gpx
4358ae56-117b-476b-a426-0fd5a3da11d5,2025-01-03 19:42:58,Running,,4.01,21:47,5:26,11.05,329.0,49,,"","",2025-01-03-194258.gpx
